hour,count
2026-07-20 00:00:00+00:00,395
2026-07-20 01:00:00+00:00,16
2026-07-20 02:00:00+00:00,18
2026-07-20 03:00:00+00:00,489
2026-07-20 04:00:00+00:00,496
2026-07-20 05:00:00+00:00,538
2026-07-20 06:00:00+00:00,4460
2026-07-20 07:00:00+00:00,1869
2026-07-20 08:00:00+00:00,12
2026-07-20 09:00:00+00:00,263
2026-07-20 10:00:00+00:00,542
2026-07-20 11:00:00+00:00,3481
2026-07-20 12:00:00+00:00,2274
2026-07-20 13:00:00+00:00,2175
2026-07-20 14:00:00+00:00,440
2026-07-20 15:00:00+00:00,213
2026-07-20 16:00:00+00:00,28
2026-07-20 17:00:00+00:00,308
2026-07-20 18:00:00+00:00,257
2026-07-20 19:00:00+00:00,374
