ip,count
45.153.34.181,6086
80.94.92.55,2727
94.154.43.50,1262
92.118.39.49,1236
101.50.83.146,722
92.118.39.14,607
195.178.110.217,296
92.118.39.77,296
2.57.122.168,232
116.110.216.159,157
116.110.146.0,146
139.19.117.130,134
154.57.213.93,70
139.213.243.2,60
159.223.54.183,56
51.219.82.170,50
38.224.90.36,50
39.164.13.113,50
122.226.145.190,45
187.217.36.136,40
156.203.26.77,40
85.215.230.198,40
216.10.11.59,30
103.60.211.106,30
193.160.130.81,30
168.83.81.61,30
185.124.84.114,30
150.241.246.171,30
222.133.52.246,30
222.174.17.118,30
20.68.161.230,30
14.224.202.234,30
5.83.138.189,30
47.245.179.7,30
5.40.184.143,30
103.143.207.31,30
92.205.20.173,30
94.154.32.170,30
183.215.123.26,30
117.241.78.154,30
36.93.21.138,30
45.222.128.45,30
36.108.171.228,30
150.241.245.47,30
195.178.110.137,25
125.122.13.33,20
20.6.109.211,20
51.79.171.152,20
129.204.236.195,20
20.90.164.238,20
27.18.102.22,20
117.220.10.166,20
117.137.81.184,20
118.107.5.219,20
40.113.175.214,20
202.29.18.84,20
202.61.121.100,20
36.75.29.248,20
60.13.177.28,20
106.53.187.25,20
111.229.43.163,20
45.251.34.198,20
34.94.9.133,20
41.225.13.147,20
42.51.42.17,20
65.21.80.172,20
74.225.197.154,20
86.238.181.21,20
101.126.145.49,20
41.130.140.33,20
40.81.17.60,20
110.227.218.46,20
36.66.162.11,20
136.158.151.228,20
138.252.181.250,20
192.227.68.204,20
14.241.37.166,20
20.193.157.189,20
14.140.205.174,20
122.176.41.89,20
185.247.46.22,20
138.91.49.4,20
20.80.103.147,20
5.133.100.118,20
20.244.84.86,20
20.2.250.95,20
20.235.102.181,20
20.90.145.127,20
180.150.243.50,20
157.119.205.99,20
175.4.130.152,20
82.115.13.174,20
172.198.65.198,20
172.183.89.99,20
172.174.21.250,20
172.172.125.65,20
171.80.15.232,20
180.76.194.24,20
183.245.232.19,20
159.195.24.196,20
103.111.68.42,20
103.126.6.145,20
113.171.82.24,20
103.234.243.190,20
113.214.37.18,20
103.250.172.185,20
105.235.250.46,20
116.110.7.93,16
160.250.133.90,14
101.96.192.45,14
116.110.11.168,12
112.15.106.254,12
103.84.129.104,10
103.39.241.86,10
103.213.236.115,10
103.69.3.179,10
103.48.192.223,10
81.16.242.100,10
103.206.107.99,10
95.155.36.66,10
103.176.21.84,10
103.183.232.198,10
141.164.245.111,10
141.11.21.65,10
172.188.104.57,10
103.115.31.111,10
172.171.240.58,10
172.104.171.246,10
161.97.87.149,10
171.244.56.84,10
161.97.128.50,10
113.225.229.22,10
104.42.234.22,10
103.93.97.230,10
181.199.4.220,10
176.44.57.58,10
176.122.106.115,10
173.249.58.160,10
172.233.107.250,10
172.203.244.122,10
172.200.171.21,10
135.235.167.160,10
135.235.138.246,10
135.232.97.58,10
131.196.193.6,10
130.12.180.51,10
154.217.246.151,10
147.161.35.151,10
144.217.242.230,10
144.123.118.22,10
143.92.173.229,10
196.218.129.187,10
192.252.180.10,10
192.210.193.183,10
192.18.128.228,10
191.243.143.53,10
188.48.192.68,10
187.134.71.148,10
186.210.187.206,10
20.195.13.95,10
121.127.232.93,10
12.131.67.114,10
119.28.191.160,10
159.203.77.10,10
185.148.1.246,10
183.245.233.237,10
135.235.179.75,10
138.252.215.240,10
139.5.19.235,10
20.168.176.249,10
20.118.128.131,10
20.163.241.222,10
20.124.92.241,10
20.121.53.87,10
20.10.189.95,10
197.243.18.136,10
196.218.23.60,10
51.11.178.81,10
50.255.62.89,10
20.117.241.149,10
20.11.48.147,10
20.109.157.99,10
47.84.58.130,10
47.119.123.3,10
20.42.101.239,10
20.40.42.45,10
20.38.44.70,10
20.244.9.56,10
20.244.56.90,10
20.244.46.227,10
20.244.13.16,10
20.244.11.94,10
20.205.18.151,10
20.2.221.29,10
20.199.40.42,10
5.191.246.144,10
49.0.124.55,10
48.210.53.66,10
20.86.130.200,10
20.84.105.238,10
20.77.34.79,10
20.77.33.82,10
20.7.34.105,10
57.155.67.48,10
57.128.195.102,10
52.83.65.91,10
52.231.157.16,10
52.191.142.40,10
52.187.126.101,10
52.152.147.30,10
51.77.210.225,10
130.107.49.110,10
13.82.138.89,10
13.76.211.167,10
128.1.211.110,10
124.174.16.212,10
20.64.235.70,10
20.55.92.25,10
20.51.194.242,10
20.51.151.16,10
20.44.139.140,10
207.57.132.75,10
206.82.3.188,10
206.1.53.38,10
203.86.124.100,10
202.155.18.56,10
201.148.65.18,10
20.197.11.94,10
20.197.11.4,10
